gene	total	forward	reverse
031_BRCA1_ex10_b_Nilmn_MixA_ctrl M chr17:41243935-41243995	876	0	876
032_BRCA1_ex10_c_Nilmn_MixB_ctrl M chr17:41245499-41245568	0	0	0
033_BRCA1_ex11_a_Nilmn_MixA_ctrl M chr17:41242961-41243027	776	0	776
034_BRCA1_ex11_b_Nilmn_MixB_ctrl M chr17:41242949-41243018	868	868	0
035_BRCA1_ex12_a_Nilmn_MixA_ctrl M chr17:41234500-41234560	600	0	600
036_BRCA1_ex12_b_Nilmn_MixB_ctrl M chr17:41234500-41234560	600	0	600
037_BRCA1_ex12_c_Nilmn_MixB_ctrl M chr17:41234428-41234506	0	0	0
038_BRCA1_in12_a_Nilmn_MixA_ctrl M chr17:41231382-41231454	2822	0	2822
039_BRCA1_ex13_a_Nilmn_MixA_ctrl M chr17:41228533-41228599	763	0	763
040_BRCA1_ex13_b_Nilmn_MixB_ctrl M chr17:41228532-41228592	762	0	762
041_BRCA1_ex14_a_Nilmn_MixA_ctrl M chr17:41226433-41226496	856	0	856
042_BRCA1_ex14_b_Nilmn_MixB_ctrl M chr17:41226363-41226435	0	0	0
043_BRCA1_ex15_a_Nilmn_MixA_ctrl M chr17:41223191-41223248	562	0	562
044_BRCA1_ex15_b_Nilmn_MixB_ctrl M chr17:41223124-41223193	0	0	0
045_BRCA1_ex16_a_Nilmn_MixA_ctrl M chr17:41219642-41219711	1079	0	1079
046_BRCA1_ex16_b_Nilmn_MixB_ctrl M chr17:41219585-41219660	0	0	0
047_BRCA1_ex17_a_Nilmn_MixA_ctrl M chr17:41215911-41215974	969	0	969
048_BRCA1_ex17_b_Nilmn_MixB_ctrl M chr17:41215861-41215930	0	0	0
049_BRCA1_ex18_a_Nilmn_MixA_ctrl M chr17:41215333-41215399	436	0	436
050_BRCA1_ex18_b_Nilmn_MixB_ctrl M chr17:41215389-41215464	0	0	0
051_BRCA1_ex19_a_Nilmn_MixA_ctrl M chr17:41209081-41209141	641	0	641
052_BRCA1_ex19_b_Nilmn_MixB_ctrl M chr17:41209139-41209214	0	0	0
053_BRCA1_ex20_a_Nilmn_MixA_ctrl M chr17:41203073-41203134	507	0	507
054_BRCA1_ex20_b_Nilmn_MixB_ctrl M chr17:41202988-41203060	0	0	0
055_BRCA1_ex21_a_Nilmn_MixA_ctrl M chr17:41201134-41201191	561	0	561
056_BRCA1_ex21_b_Nilmn_MixB_ctrl M chr17:41201178-41201247	0	0	0
057_BRCA1_ex22_a_Nilmn_MixA_ctrl M chr17:41199671-41199725	88	0	88
058_BRCA1_ex22_b_Nilmn_MixB_ctrl M chr17:41199596-41199668	0	0	0
059_BRCA1_ex23_a_Nilmn_MixA_ctrl M chr17:41197201-41197276	905	0	905
060_BRCA1_ex23_b_Nilmn_MixB_ctrl M chr17:41197760-41197823	0	0	0
061_BRCA2_up_a_Nilmn_MixB_ctrl M chr13:32888196-32888271	0	0	0
062_BRCA2_ex1_a_Nilmn_MixA_ctrl M chr13:32889594-32889654	499	0	499
063_BRCA2_ex1_b_Nilmn_MixA_ctrl M chr13:32889802-32889865	353	0	353
064_BRCA2_ex1_c_Nilmn_MixB_ctrl M chr13:32889718-32889790	0	0	0
065_BRCA2_ex2_a_Nilmn_MixA_ctrl M chr13:32890600-32890666	285	0	285
066_BRCA2_ex2_b_Nilmn_MixB_ctrl M chr13:32890573-32890648	0	0	0
067_BRCA2_ex3_a_Nilmn_MixA_ctrl M chr13:32893539-32893617	967	0	967
068_BRCA2_ex3_b_Nilmn_MixA_ctrl M chr13:32893361-32893438	567	0	567
069_BRCA2_ex3_c_Nilmn_MixB_ctrl M chr13:32893489-32893567	0	0	0
070_BRCA2_ex4_a_Nilmn_MixA_ctrl M chr13:32899205-32899282	1130	0	1130
071_BRCA2_ex4_b_Nilmn_MixB_ctrl M chr13:32899267-32899336	0	0	0
072_BRCA2_ex5_a_Nilmn_MixA_ctrl M chr13:32900240-32900321	1180	0	1180
073_BRCA2_ex5_b_Nilmn_MixB_ctrl M chr13:32900006-32900081	0	0	0
074_BRCA2_ex6_a_Nilmn_MixA_ctrl M chr13:32900361-32900436	843	0	843
075_BRCA2_ex6_b_Nilmn_MixB_ctrl M chr13:32900467-32900542	0	0	0
076_BRCA2_ex7_a_Nilmn_MixA_ctrl M chr13:32900676-32900745	810	0	810
077_BRCA2_ex7_b_Nilmn_MixB_ctrl M chr13:32900782-32900863	0	0	0
078_BRCA2_ex8_a_Nilmn_MixA_ctrl M chr13:32903290-32903362	1156	0	1156
079_BRCA2_ex8_b_Nilmn_MixB_ctrl M chr13:32903577-32903655	0	0	0
080_BRCA2_ex8_c_Nilmn_MixB_ctrl M chr13:32903740-32903812	0	0	0
081_BRCA2_ex9_a_Nilmn_MixA_ctrl M chr13:32905120-32905195	708	0	708
082_BRCA2_ex9_b_Nilmn_MixB_ctrl M chr13:32905051-32905124	0	0	0
083_BRCA2_ex10_a_Nilmn_MixA_ctrl M chr13:32906737-32906806	1003	0	1003
084_BRCA2_ex10_b_Nilmn_MixB_ctrl M chr13:32907029-32907104	0	0	0
085_BRCA2_ex11_a_Nilmn_MixA_ctrl M chr13:32910426-32910498	863	0	863
086_BRCA2_ex11_b_Nilmn_MixA_ctrl M chr13:32915229-32915304	1045	0	1045
087_BRCA2_ex11_c_Nilmn_MixB_ctrl M chr13:32913997-32914066	0	0	0
088_BRCA2_ex11_e_Nilmn_MixB_ctrl M chr13:32911465-32911540	0	0	0
089_BRCA2_ex11d_Nilmn_MixB_ctrl M chr13:32915299-32915374	0	0	0
090_BRCA2_ex12_a_Nilmn_MixA_ctrl M chr13:32918482-32918557	887	0	887
091_BRCA2_ex12_b_Nilmn_MixB_ctrl M chr13:32918751-32918826	0	0	0
092_BRCA2_ex13_a_Nilmn_MixA_ctrl M chr13:32920974-32921043	877	0	877
093_BRCA2_ex13_b_Nilmn_MixB_ctrl M chr13:32920849-32920933	0	0	0
094_BRCA2_ex14_a_Nilmn_MixA_ctrl M chr13:32929122-32929203	792	0	792
095_BRCA2_ex14_b_Nilmn_MixB_ctrl M chr13:32929232-32929307	0	0	0
096_BRCA2_ex15_a_Nilmn_MixA_ctrl M chr13:32930642-32930711	1021	0	1021
097_BRCA2_ex15_b_Nilmn_MixB_ctrl M chr13:32930600-32930666	0	0	0
098_BRCA2_ex16_a_Nilmn_MixA_ctrl M chr13:32931983-32932055	997	0	997
099_BRCA2_ex16_b_Nilmn_MixB_ctrl M chr13:32932193-32932268	0	0	0
100_BRCA2_ex16_c_Nilmn_MixB_ctrl M chr13:32931920-32931989	0	0	0
101_BRCA2_ex17_a_Nilmn_MixA_ctrl M chr13:32936745-32936814	865	0	865
102_BRCA2_ex17_b_Nilmn_MixB_ctrl M chr13:32936881-32936947	0	0	0
103_BRCA2_ex18_a_Nilmn_MixA_ctrl M chr13:32937566-32937641	645	0	645
104_BRCA2_ex18_b_Nilmn_MixB_ctrl M chr13:32937916-32937991	0	0	0
105_BRCA2_ex18_c_Nilmn_MixB_ctrl M chr13:32937260-32937335	0	0	0
106_BRCA2_ex19_a_Nilmn_MixA_ctrl M chr13:32944559-32944628	914	0	914
107_BRCA2_ex19_b_Nilmn_MixB_ctrl M chr13:32944603-32944666	0	0	0
108_BRCA2_ex20_a_Nilmn_MixA_ctrl M chr13:32945089-32945161	1014	0	1014
109_BRCA2_ex20_b_Nilmn_MixB_ctrl M chr13:32945213-32945291	0	0	0
110_BRCA2_ex21_a_Nilmn_MixA_ctrl M chr13:32950828-32950903	858	0	858
111_BRCA2_ex21_b_Nilmn_MixB_ctrl M chr13:32950928-32951003	0	0	0
112_BRCA2_ex22_a_Nilmn_MixA_ctrl M chr13:32953549-32953618	964	0	964
113_BRCA2_ex23_a_Nilmn_MixA_ctrl M chr13:32953891-32953967	1075	0	1075
114_BRCA2_ex23_b_Nilmn_MixB_ctrl M chr13:32953855-32953924	0	0	0
115_BRCA2_ex24_a_Nilmn_MixA_ctrl M chr13:32954214-32954283	858	0	858
116_BRCA2_ex24_b_Nilmn_MixB_ctrl M chr13:32954182-32954252	0	0	0
117_BRCA2_ex25_a_Nilmn_MixA_ctrl M chr13:32969023-32969098	915	0	915
118_BRCA2_ex25_b_Nilmn_MixB_ctrl M chr13:32968987-32969062	0	0	0
119_BRCA2_ex26_a_Nilmn_MixA_ctrl M chr13:32971057-32971132	781	0	781
120_BRCA2_ex26_b_Nilmn_MixB_ctrl M chr13:32971118-32971193	0	0	0
121_BRCA2_ex27_a_Nilmn_MixA_ctrl M chr13:32973026-32973101	465	0	465
122_BRCA2_ex27_b_Nilmn_MixA_ctrl M chr13:32972382-32972454	799	0	799
123_BRCA2_ex27_c_Nilmn_MixB_ctrl M chr13:32972508-32972571	0	0	0
124_BRCA2_ex27_d_Nilmn_MixB_ctrl M chr13:32972681-32972756	0	0	0
125_RB1_ex6_a_Nilmn_MixAMixB_ctrl M chr13:48923213-48923282	842	0	842
126_NF1_ex26_a_Nilmn_MixAMixB_ctrl M chr17:29559810-29559876	840	0	840
127_PTENP1_ex1_a_Nilmn_MixAMixB_ctrl M chr9:33674992-33675070	958	0	958
128_ITIH5_ex15_a_Nilmn_MixAMixB_ctrl M chr10:7608187-7608260	668	0	668
129_ANXA7_ex3_a_Nilmn_MixAMixB_ctrl M chr10:75158031-75158101	453	0	453
130_PTEN_ex1_a_Nilmn_MixAMixB_ctrl M chr10:89623364-89623432	725	0	725
131_PTEN_ex1_b_Nilmn_MixAMixB_ctrl M chr10:89624124-89624211	660	0	660
132_PTEN_ex1_c_Nilmn_MixAMixB_ctrl M chr10:89624274-89624356	1142	0	1142
133_PTEN_ex2_a_Nilmn_MixAMixB_ctrl M chr10:89654034-89654112	1106	0	1106
134_PTEN_ex2_b_Nilmn_MixAMixB_ctrl M chr10:89653729-89653829	710	0	710
135_PTEN_ex3_a_Nilmn_MixAMixB_ctrl M chr10:89685502-89685586	1066	0	1066
136_PTEN_ex3_b_Nilmn_MixAMixB_ctrl M chr10:89685293-89685400	785	0	785
137_PTEN_ex4_a_Nilmn_MixAMixB_ctrl M chr10:89690733-89690831	947	0	947
138_PTEN_ex4_b_Nilmn_MixAMixB_ctrl M chr10:89690846-89690945	985	0	985
139_PTEN_ex5_a_Nilmn_MixAMixB_ctrl M chr10:89692886-89692971	775	0	775
140_PTEN_ex5_b_Nilmn_MixAMixB_ctrl M chr10:89692977-89693067	949	0	949
141_PTEN_ex6_a_Nilmn_MixAMixB_ctrl M chr10:89711888-89711969	801	0	801
142_PTEN_ex6_b_Nilmn_MixAMixB_ctrl M chr10:89711964-89712043	956	0	956
143_PTEN_ex7_a_Nilmn_MixAMixB_ctrl M chr10:89717745-89717832	886	0	886
144_PTEN_ex7_b_Nilmn_MixAMixB_ctrl M chr10:89717647-89717722	693	0	693
145_PTEN_ex8_a_Nilmn_MixAMixB_ctrl M chr10:89720891-89720966	860	0	860
146_PTEN_ex8_b_Nilmn_MixAMixB_ctrl M chr10:89720755-89720856	944	0	944
147_PTEN_ex9_a_Nilmn_MixAMixB_ctrl M chr10:89726134-89726213	976	0	976
148_PTEN_ex9_b_Nilmn_MixAMixB_ctrl M chr10:89725304-89725391	1023	0	1023
149_PTEN_ex9_c_Nilmn_MixAMixB_ctrl M chr10:89724998-89725084	922	0	922
150_HTRA1_ex8_a_Nilmn_MixAMixB_ctrl M chr10:124271513-124271584	558	0	558
151_CCNE1_ex11_1_Nilmn_MixAMixB M chr19:30313375-30313438	764	0	764
152_CCNE1_ex6_1_Nilmn_MixAMixB M chr19:30308310-30308385	1065	0	1065
153_EMSY_ex16_a_Nilmn_MixAMixB M chr11:76248895-76248964	907	0	907
154_ERBB2_ex13_a_Nilmn_MixAMixB M chr17:37868639-37868699	815	0	815
155_ERBB2_ex7_a_Nilmn_MixAMixB M chr17:37864569-37864627	812	0	812
156_MET_ex4_a_Nilmn_MixAMixB M chr7:116380108-116380171	944	0	944
157_MYC_ex3_a_Nilmn_MixAMixB M chr8:128752820-128752880	776	0	776
158_AURKA_ex10_a_Nilmn_MixAMixB M chr20:54945498-54945580	1018	0	1018
